@id;addr:street;addr:housenumber;amenity;addr:city;addr:postcode;@lat;@lon
798016714;Ateities g.;9;;Šiauliai;78203;55.9121783;23.2804337
798016718;Ateities g.;21;;Šiauliai;78203;55.9110527;23.2789264
798016725;Vilties g.;7;;Šiauliai;78204;55.9125319;23.2791586
798016740;Tiesos g.;9;;Šiauliai;78195;55.9130430;23.2812980
798016744;Tiesos g.;14;;Šiauliai;78203;55.9116241;23.2813235
798016755;Tiesos g.;13;;Šiauliai;78195;55.9128631;23.2817402
798016769;Tiesos g.;10;;Šiauliai;78204;55.9131641;23.2802499
798016775;Ateities g.;5;;Šiauliai;78203;55.9123510;23.2806726
798016779;Vilties g.;10;;Šiauliai;78214;55.9123234;23.2787786
798016789;Tiesos g.;30;;Šiauliai;78215;55.9102294;23.2796297
798016790;Tiesos g.;20;;Šiauliai;78203;55.9110266;23.2806225
798016791;Tiesos g.;6;;Šiauliai;78203;55.9122446;23.2820670
798016808;Tiesos g.;24;;Šiauliai;78203;55.9106722;23.2801902
798016837;Vilties g.;8;;Šiauliai;78214;55.9124570;23.2785899
798016850;J. Sondeckio g.;19;;Šiauliai;78225;55.9109444;23.2792210
798016855;Vilties g.;11;;Šiauliai;78204;55.9123704;23.2794521
798016878;Tiesos g.;15;;Šiauliai;78195;55.9127639;23.2819924
798016889;Tiesos g.;12;;Šiauliai;78203;55.9117710;23.2815004
798016923;Ateities g.;3;;Šiauliai;78203;55.9125413;23.2808802
798016938;Tiesos g.;26;;Šiauliai;78203;55.9105544;23.2800555
798016950;Ateities g.;13;;Šiauliai;78203;55.9117518;23.2799263
798016960;Tiesos g.;12;;Šiauliai;78204;55.9130558;23.2805119
798016969;Tiesos g.;8;;Šiauliai;78203;55.9121014;23.2819229
803472648;Skaudvilės g.;14;;Šiauliai;78164;55.9155829;23.2862419
803472673;Skaudvilės g.;20;;Šiauliai;78164;55.9152976;23.2869675
803472737;Šviesos tak.;8;;Šiauliai;78164;55.9151592;23.2860500
803472757;Rasos g.;18;;Šiauliai;78195;55.9132809;23.2833862
803472765;Šviesos tak.;6;;Šiauliai;78164;55.9152578;23.2858389
803472839;Šviesos tak.;3;;Šiauliai;78175;55.9149984;23.2857658
803472843;Šviesos tak.;9;;Šiauliai;78175;55.9145813;23.2854600
803472887;Šviesos tak.;2;;Šiauliai;78164;55.9153776;23.2855791
803472891;Šviesos tak.;5;;Šiauliai;78175;55.9148300;23.2858308
803472939;Šviesos tak.;7;;Šiauliai;78175;55.9146677;23.2855845
803472951;Šviesos tak.;30;;Šiauliai;78164;55.9141262;23.2855178
803472978;Rasos g.;8;;Šiauliai;78195;55.9138544;23.2820541
803472983;Šviesos tak.;9A;;Šiauliai;78175;55.9144083;23.2852570
803472986;Rasos g.;10;;Šiauliai;78195;55.9137407;23.2822867
803473019;Šviesos tak.;10;;Šiauliai;78164;55.9149771;23.2864560
803473027;Šviesos tak.;4;;Šiauliai;78164;55.9155323;23.2854085
803473063;Skaudvilės g.;12;;Šiauliai;78164;55.9156661;23.2860759
803473080;Rasos g.;12;;Šiauliai;78195;55.9135914;23.2826165
803473108;Šviesos tak.;1;;Šiauliai;78175;55.9152729;23.2851650
803473110;Šviesos tak.;12;;Šiauliai;78164;55.9148740;23.2867023
803473161;Skaudvilės g.;10;;Šiauliai;78164;55.9157431;23.2859038
803473192;Skaudvilės g.;16;;Šiauliai;78164;55.9154873;23.2864756
803473214;Rasos g.;16;;Šiauliai;78195;55.9133804;23.2830817
803473333;Rasos g.;14;;Šiauliai;78195;55.9134776;23.2828449
803473396;Skaudvilės g.;18;;Šiauliai;78164;55.9153727;23.2867640
806024970;Vėjo g.;1;;Vilnius;;54.5982134;25.1756157
807632625;J. Basanavičiaus g.;127;;Utena;;55.5044203;25.6249587
815510250;Tirkiliškių g.;51;library;Kaunas;;54.8612894;23.8689830
821373724;Pilies g.;4;;Klaipėda;91240;55.7059187;21.1289108
822869553;Pilviškių g.;1;;Kaunas;;54.8644279;23.8823487
822869555;Pilviškių g.;3;;Kaunas;;54.8642890;23.8820884
822869556;Pilviškių g.;5;;Kaunas;;54.8641470;23.8818548
826129384;Subačiaus g.;2;;Vilnius;;54.6766785;25.2887222
828091571;Baltų pr.;81;;Kaunas;;54.9269654;23.8790076
828091594;Baltų pr.;49F;;Kaunas;48233;54.9278511;23.8815862
828338297;Birutės g.;40;;Vilnius;;54.6930171;25.2438007
830258491;Baltijos g.;59;;Kaunas;;54.9195270;23.8789742
836234960;Mindaugo g.;15;;Vilnius;03215;54.6770951;25.2738875
836234983;Naugarduko g.;10;;Vilnius;01141;54.6771752;25.2770533
837674950;Savanorių pr.;22;;Vilnius;;54.6761182;25.2557925
837675009;Savanorių pr.;22;;Vilnius;;54.6759931;25.2555655
840871997;Pikeliškės g.;76;;Šiauliai;78219;55.9032331;23.2914467
840872107;Lapišės g.;1;;Šiauliai;;55.9029458;23.2834388
840872144;Tauro g.;10;;Šiauliai;78217;55.9038436;23.2939834
840872200;Lapišės g.;2;;Šiauliai;;55.9027817;23.2837588
840872205;Skalvių g.;25;;Šiauliai;78222;55.9028771;23.2788500
840872243;Lukojaus g.;11;;Šiauliai;;55.9022909;23.2796358
840872259;Lukojaus g.;24;;Šiauliai;;55.9015335;23.2790426
840872269;Lukojaus g.;13;;Šiauliai;;55.9019909;23.2791811
840872280;Gryžuvos g.;5;;Šiauliai;;55.9032880;23.2794493
840872282;Lukojaus g.;10;;Šiauliai;;55.9027008;23.2810099
840872299;Skalvių g.;27;;Šiauliai;78222;55.9026070;23.2786716
840872321;Lapišės g.;27;;Šiauliai;;55.9009769;23.2793210
840872326;Lukojaus g.;22;;Šiauliai;;55.9017003;23.2792417
840872352;Lukojaus g.;9;;Šiauliai;;55.9024357;23.2798510
840872422;Lapišės g.;30;;Šiauliai;;55.9007936;23.2795782
840872460;Tauro g.;8;;Šiauliai;78217;55.9039965;23.2939825
840872523;Skalvių g.;29;;Šiauliai;78222;55.9023269;23.2783771
847692423;Žiemgalių g.;102;;Šiauliai;78307;55.8963791;23.2800753
847692425;Žiemgalių g.;347;;Šiauliai;78307;55.8956073;23.2818060
847692426;Žiemgalių g.;108;;Šiauliai;78307;55.8957995;23.2800771
847692428;Pikeliškės g.;84;;Šiauliai;78219;55.9027274;23.2921917
847692436;Žiemgalių g.;349A;;Šiauliai;78307;55.8956165;23.2812721
847692438;Žiemgalių g.;367;;Šiauliai;78307;55.8952174;23.2826517
847692439;Jotvingių g.;96;;Šiauliai;;55.8942320;23.2836094
847692440;Kalniškių g.;43;;Šiauliai;;55.8945529;23.2811227
847692441;Pikeliškės g.;41;;Šiauliai;78219;55.9013269;23.2926731
847692455;Kalniškių g.;11;;Šiauliai;78306;55.8963039;23.2793372
847692461;Žiemgalių g.;299;;Šiauliai;78307;55.8962293;23.2818334
847692465;Pikeliškės g.;45;;Šiauliai;78219;55.9016498;23.2931422
847692471;Kalniškių g.;4;;Šiauliai;78306;55.8957343;23.2765623
847692478;Žiemgalių g.;375;;Šiauliai;78307;55.8949744;23.2822628
847692481;Kalniškių g.;29;;Šiauliai;78306;55.8960432;23.2793710
847692492;Tauro g.;28;;Šiauliai;78217;55.9023398;23.2939606
847692500;Žiemgalių g.;313;;Šiauliai;78307;55.8962553;23.2829839
847692501;Jotvingių g.;98;;Šiauliai;;55.8941592;23.2838320
847692513;Žiemgalių g.;385;;Šiauliai;78307;55.8948010;23.2804958
847692517;Žiemgalių g.;349;;Šiauliai;78307;55.8956258;23.2807293
847692526;Pikeliškės g.;90;;Šiauliai;78219;55.9021280;23.2919470
847692529;Kalniškių g.;1;;Šiauliai;78306;55.8959527;23.2774696
847692530;Kalniškių g.;45;;Šiauliai;;55.8944890;23.2812652
847692532;Statybininkų g.;35;;Šiauliai;;55.9006884;23.2916432
847692549;Žiemgalių g.;91;;Šiauliai;78307;55.8984520;23.2883620
847692553;Kalniškių g.;31;;Šiauliai;78306;55.8958581;23.2777808
847692558;Kalniškių g.;49;;Šiauliai;;55.8943052;23.2818733
847692562;Pikeliškės g.;53;;Šiauliai;78219;55.9012314;23.2930504
847692579;Žiemgalių g.;377;;Šiauliai;78307;55.8949693;23.2818465
847692584;Kalniškių g.;17;;Šiauliai;78306;55.8958372;23.2793830
847692586;Tauro g.;42;;Šiauliai;78217;55.9010663;23.2934272
847692588;Žiemgalių g.;339;;Šiauliai;78307;55.8960264;23.2832576
847692592;Statybininkų g.;41;;Šiauliai;;55.9003902;23.2921331
847692593;Žiemgalių g.;379;;Šiauliai;78307;55.8949666;23.2816323
847692596;Kalniškių g.;18;;Šiauliai;78306;55.8952388;23.2785931
847692597;Žiemgalių g.;341;;Šiauliai;78307;55.8955894;23.2828540
847692598;Jotvingių g.;100;;Šiauliai;;55.8940213;23.2841985
847692600;Žiemgalių g.;97;;Šiauliai;78307;55.8986393;23.2877265
847692603;Pikeliškės g.;73;;Šiauliai;78219;55.9009365;23.2921450
847692604;Kalniškių g.;22;;Šiauliai;;55.8950097;23.2791988
847692605;Pikeliškės g.;59;;Šiauliai;78219;55.9006715;23.2932471
847692612;Kalniškių g.;10;;Šiauliai;78306;55.8956210;23.2776572
847692615;Pikeliškės g.;57;;Šiauliai;78219;55.9008806;23.2929573
